,transect,row,time,week,julian,count,position
35,control,48,pm,23,156,0,5
36,control,48,pm,23,156,0,6
37,control,48,pm,23,156,0,7
45,control,50,pm,23,156,0,5
46,control,50,pm,23,156,0,6
47,control,50,pm,23,156,1,7
55,control,52,pm,23,156,1,5
56,control,52,pm,23,156,0,6
57,control,52,pm,23,156,0,7
65,control,48,am,23,157,0,5
66,control,48,am,23,157,0,6
67,control,48,am,23,157,0,7
75,control,50,am,23,157,0,5
76,control,50,am,23,157,0,6
77,control,50,am,23,157,0,7
85,control,52,am,23,157,0,5
86,control,52,am,23,157,0,6
87,control,52,am,23,157,0,7
155,control,48,pm,23,157,0,5
156,control,48,pm,23,157,0,6
157,control,48,pm,23,157,1,7
165,control,50,pm,23,157,0,5
166,control,50,pm,23,157,0,6
167,control,50,pm,23,157,1,7
175,control,52,pm,23,157,0,5
176,control,52,pm,23,157,2,6
177,control,52,pm,23,157,0,7
185,control,48,pm,23,158,0,5
186,control,48,pm,23,158,2,6
187,control,48,pm,23,158,3,7
195,control,50,pm,23,158,0,5
196,control,50,pm,23,158,1,6
197,control,50,pm,23,158,0,7
205,control,52,pm,23,158,0,5
206,control,52,pm,23,158,0,6
207,control,52,pm,23,158,0,7
245,control,48,am,23,158,0,5
246,control,48,am,23,158,0,6
247,control,48,am,23,158,0,7
255,control,50,am,23,158,0,5
256,control,50,am,23,158,1,6
257,control,50,am,23,158,0,7
265,control,52,am,23,158,0,5
266,control,52,am,23,158,0,6
267,control,52,am,23,158,1,7
305,control,47,pm,24,162,4,5
306,control,47,pm,24,162,0,6
307,control,47,pm,24,162,2,7
315,control,49,pm,24,162,0,5
316,control,49,pm,24,162,1,6
317,control,49,pm,24,162,0,7
325,control,51,pm,24,162,0,5
326,control,51,pm,24,162,3,6
327,control,51,pm,24,162,2,7
365,control,47,am,24,162,0,5
366,control,47,am,24,162,0,6
367,control,47,am,24,162,0,7
375,control,49,am,24,162,1,5
376,control,49,am,24,162,0,6
377,control,49,am,24,162,0,7
385,control,51,am,24,162,0,5
386,control,51,am,24,162,0,6
387,control,51,am,24,162,0,7
425,control,47,pm,24,163,0,5
426,control,47,pm,24,163,1,6
427,control,47,pm,24,163,2,7
435,control,49,pm,24,163,2,5
436,control,49,pm,24,163,0,6
437,control,49,pm,24,163,0,7
445,control,51,pm,24,163,0,5
446,control,51,pm,24,163,0,6
447,control,51,pm,24,163,2,7
485,control,47,am,24,163,1,5
486,control,47,am,24,163,0,6
487,control,47,am,24,163,1,7
495,control,49,am,24,163,0,5
496,control,49,am,24,163,0,6
497,control,49,am,24,163,0,7
505,control,51,am,24,163,0,5
506,control,51,am,24,163,0,6
507,control,51,am,24,163,0,7
545,control,47,pm,24,164,2,5
546,control,47,pm,24,164,1,6
547,control,47,pm,24,164,1,7
555,control,49,pm,24,164,1,5
556,control,49,pm,24,164,1,6
557,control,49,pm,24,164,1,7
565,control,51,pm,24,164,1,5
566,control,51,pm,24,164,0,6
567,control,51,pm,24,164,0,7
605,control,47,am,24,164,1,5
606,control,47,am,24,164,0,6
607,control,47,am,24,164,0,7
615,control,49,am,24,164,0,5
616,control,49,am,24,164,1,6
617,control,49,am,24,164,0,7
625,control,51,am,24,164,0,5
626,control,51,am,24,164,1,6
627,control,51,am,24,164,0,7
665,control,45,pm,25,170,2,5
666,control,45,pm,25,170,2,6
667,control,45,pm,25,170,0,7
675,control,47,pm,25,170,1,5
676,control,47,pm,25,170,1,6
677,control,47,pm,25,170,1,7
685,control,49,pm,25,170,2,5
686,control,49,pm,25,170,0,6
687,control,49,pm,25,170,0,7
695,control,45,am,25,170,0,5
696,control,45,am,25,170,0,6
697,control,45,am,25,170,0,7
705,control,47,am,25,170,0,5
706,control,47,am,25,170,0,6
707,control,47,am,25,170,0,7
715,control,49,am,25,170,0,5
716,control,49,am,25,170,0,6
717,control,49,am,25,170,0,7
785,control,45,am,25,171,0,5
786,control,45,am,25,171,0,6
787,control,45,am,25,171,0,7
795,control,47,am,25,171,2,5
796,control,47,am,25,171,0,6
797,control,47,am,25,171,0,7
805,control,49,am,25,171,0,5
806,control,49,am,25,171,0,6
807,control,49,am,25,171,0,7
875,control,45,pm,25,171,0,5
876,control,45,pm,25,171,0,6
877,control,45,pm,25,171,0,7
885,control,47,pm,25,171,0,5
886,control,47,pm,25,171,0,6
887,control,47,pm,25,171,1,7
895,control,49,pm,25,171,0,5
896,control,49,pm,25,171,2,6
897,control,49,pm,25,171,0,7
935,control,45,am,25,172,0,5
936,control,45,am,25,172,0,6
937,control,45,am,25,172,0,7
945,control,47,am,25,172,0,5
946,control,47,am,25,172,0,6
947,control,47,am,25,172,0,7
955,control,49,am,25,172,0,5
956,control,49,am,25,172,1,6
957,control,49,am,25,172,0,7
965,control,47,pm,25,172,1,5
966,control,47,pm,25,172,0,6
967,control,47,pm,25,172,2,7
975,control,45,pm,25,172,0,5
976,control,45,pm,25,172,0,6
977,control,45,pm,25,172,0,7
985,control,49,pm,25,172,1,5
986,control,49,pm,25,172,0,6
987,control,49,pm,25,172,0,7
1025,control,46,pm,26,177,0,5
1026,control,46,pm,26,177,1,6
1027,control,46,pm,26,177,0,7
1035,control,48,pm,26,177,0,5
1036,control,48,pm,26,177,0,6
1037,control,48,pm,26,177,0,7
1045,control,50,pm,26,177,1,5
1046,control,50,pm,26,177,0,6
1047,control,50,pm,26,177,0,7
1085,control,46,am,26,177,0,5
1086,control,46,am,26,177,0,6
1087,control,46,am,26,177,0,7
1095,control,48,am,26,177,0,5
1096,control,48,am,26,177,0,6
1097,control,48,am,26,177,0,7
1105,control,50,am,26,177,0,5
1106,control,50,am,26,177,1,6
1107,control,50,am,26,177,0,7
1145,control,46,pm,26,178,0,5
1146,control,46,pm,26,178,0,6
1147,control,46,pm,26,178,1,7
1155,control,48,pm,26,178,0,5
1156,control,48,pm,26,178,0,6
1157,control,48,pm,26,178,2,7
1165,control,50,pm,26,178,1,5
1166,control,50,pm,26,178,0,6
1167,control,50,pm,26,178,0,7
1175,control,46,am,26,178,0,5
1176,control,46,am,26,178,0,6
1177,control,46,am,26,178,0,7
1185,control,48,am,26,178,0,5
1186,control,48,am,26,178,0,6
1187,control,48,am,26,178,0,7
1195,control,50,am,26,178,1,5
1196,control,50,am,26,178,0,6
1197,control,50,am,26,178,0,7
1265,control,46,am,26,179,0,5
1266,control,46,am,26,179,0,6
1267,control,46,am,26,179,1,7
1275,control,48,am,26,179,0,5
1276,control,48,am,26,179,0,6
1277,control,48,am,26,179,0,7
1285,control,50,am,26,179,0,5
1286,control,50,am,26,179,0,6
1287,control,50,am,26,179,0,7
1325,control,46,pm,26,179,0,5
1326,control,46,pm,26,179,0,6
1327,control,46,pm,26,179,0,7
1335,control,48,pm,26,179,0,5
1336,control,48,pm,26,179,0,6
1337,control,48,pm,26,179,0,7
1345,control,50,pm,26,179,0,5
1346,control,50,pm,26,179,0,6
1347,control,50,pm,26,179,0,7
1385,control,47,pm,27,183,0,5
1386,control,47,pm,27,183,0,6
1387,control,47,pm,27,183,0,7
1395,control,49,pm,27,183,0,5
1396,control,49,pm,27,183,1,6
1397,control,49,pm,27,183,1,7
1405,control,51,pm,27,183,0,5
1406,control,51,pm,27,183,0,6
1407,control,51,pm,27,183,0,7
1445,control,47,am,27,183,0,5
1446,control,47,am,27,183,0,6
1447,control,47,am,27,183,1,7
1455,control,49,am,27,183,0,5
1456,control,49,am,27,183,0,6
1457,control,49,am,27,183,1,7
1465,control,51,am,27,183,0,5
1466,control,51,am,27,183,0,6
1467,control,51,am,27,183,0,7
1505,control,47,am,27,184,0,5
1506,control,47,am,27,184,0,6
1507,control,47,am,27,184,0,7
1515,control,49,am,27,184,0,5
1516,control,49,am,27,184,0,6
1517,control,49,am,27,184,0,7
1525,control,51,am,27,184,0,5
1526,control,51,am,27,184,0,6
1527,control,51,am,27,184,0,7
1565,control,44,pm,28,191,0,5
1566,control,44,pm,28,191,0,6
1567,control,44,pm,28,191,0,7
1575,control,46,pm,28,191,0,5
1576,control,46,pm,28,191,0,6
1577,control,46,pm,28,191,0,7
1585,control,48,pm,28,191,0,5
1586,control,48,pm,28,191,1,6
1587,control,48,pm,28,191,0,7
1655,control,46,am,28,191,0,5
1656,control,46,am,28,191,0,6
1657,control,46,am,28,191,1,7
1665,control,48,am,28,191,1,5
1666,control,48,am,28,191,0,6
1667,control,48,am,28,191,0,7
1675,control,44,am,28,191,0,5
1676,control,44,am,28,191,0,6
1677,control,44,am,28,191,0,7
