,transect,row,time,week,julian,count,position
38,control,48,pm,23,156,0,8
39,control,48,pm,23,156,0,9
40,control,48,pm,23,156,2,10
48,control,50,pm,23,156,1,8
49,control,50,pm,23,156,0,9
50,control,50,pm,23,156,0,10
58,control,52,pm,23,156,0,8
59,control,52,pm,23,156,0,9
60,control,52,pm,23,156,0,10
68,control,48,am,23,157,1,8
69,control,48,am,23,157,0,9
70,control,48,am,23,157,0,10
78,control,50,am,23,157,0,8
79,control,50,am,23,157,0,9
80,control,50,am,23,157,0,10
88,control,52,am,23,157,1,8
89,control,52,am,23,157,0,9
90,control,52,am,23,157,0,10
158,control,48,pm,23,157,1,8
159,control,48,pm,23,157,0,9
160,control,48,pm,23,157,0,10
168,control,50,pm,23,157,0,8
169,control,50,pm,23,157,0,9
170,control,50,pm,23,157,0,10
178,control,52,pm,23,157,0,8
179,control,52,pm,23,157,0,9
180,control,52,pm,23,157,1,10
188,control,48,pm,23,158,1,8
189,control,48,pm,23,158,0,9
190,control,48,pm,23,158,1,10
198,control,50,pm,23,158,0,8
199,control,50,pm,23,158,0,9
200,control,50,pm,23,158,0,10
208,control,52,pm,23,158,2,8
209,control,52,pm,23,158,1,9
210,control,52,pm,23,158,0,10
248,control,48,am,23,158,1,8
249,control,48,am,23,158,0,9
250,control,48,am,23,158,0,10
258,control,50,am,23,158,0,8
259,control,50,am,23,158,0,9
260,control,50,am,23,158,0,10
268,control,52,am,23,158,0,8
269,control,52,am,23,158,0,9
270,control,52,am,23,158,1,10
308,control,47,pm,24,162,0,8
309,control,47,pm,24,162,2,9
310,control,47,pm,24,162,1,10
318,control,49,pm,24,162,1,8
319,control,49,pm,24,162,0,9
320,control,49,pm,24,162,0,10
328,control,51,pm,24,162,2,8
329,control,51,pm,24,162,2,9
330,control,51,pm,24,162,1,10
368,control,47,am,24,162,1,8
369,control,47,am,24,162,0,9
370,control,47,am,24,162,0,10
378,control,49,am,24,162,0,8
379,control,49,am,24,162,1,9
380,control,49,am,24,162,0,10
388,control,51,am,24,162,0,8
389,control,51,am,24,162,0,9
390,control,51,am,24,162,0,10
428,control,47,pm,24,163,0,8
429,control,47,pm,24,163,1,9
430,control,47,pm,24,163,3,10
438,control,49,pm,24,163,0,8
439,control,49,pm,24,163,2,9
440,control,49,pm,24,163,3,10
448,control,51,pm,24,163,1,8
449,control,51,pm,24,163,1,9
450,control,51,pm,24,163,2,10
488,control,47,am,24,163,0,8
489,control,47,am,24,163,0,9
490,control,47,am,24,163,1,10
498,control,49,am,24,163,0,8
499,control,49,am,24,163,0,9
500,control,49,am,24,163,3,10
508,control,51,am,24,163,0,8
509,control,51,am,24,163,3,9
510,control,51,am,24,163,0,10
548,control,47,pm,24,164,1,8
549,control,47,pm,24,164,4,9
550,control,47,pm,24,164,3,10
558,control,49,pm,24,164,0,8
559,control,49,pm,24,164,1,9
560,control,49,pm,24,164,2,10
568,control,51,pm,24,164,0,8
569,control,51,pm,24,164,1,9
570,control,51,pm,24,164,0,10
608,control,47,am,24,164,1,8
609,control,47,am,24,164,4,9
610,control,47,am,24,164,0,10
618,control,49,am,24,164,0,8
619,control,49,am,24,164,1,9
620,control,49,am,24,164,0,10
628,control,51,am,24,164,1,8
629,control,51,am,24,164,0,9
630,control,51,am,24,164,2,10
668,control,45,pm,25,170,0,8
669,control,45,pm,25,170,0,9
670,control,45,pm,25,170,0,10
678,control,47,pm,25,170,0,8
679,control,47,pm,25,170,0,9
680,control,47,pm,25,170,0,10
688,control,49,pm,25,170,0,8
689,control,49,pm,25,170,0,9
690,control,49,pm,25,170,0,10
698,control,45,am,25,170,0,8
699,control,45,am,25,170,0,9
700,control,45,am,25,170,1,10
708,control,47,am,25,170,1,8
709,control,47,am,25,170,0,9
710,control,47,am,25,170,0,10
718,control,49,am,25,170,1,8
719,control,49,am,25,170,0,9
720,control,49,am,25,170,0,10
788,control,45,am,25,171,0,8
789,control,45,am,25,171,0,9
790,control,45,am,25,171,0,10
798,control,47,am,25,171,0,8
799,control,47,am,25,171,0,9
800,control,47,am,25,171,0,10
808,control,49,am,25,171,0,8
809,control,49,am,25,171,0,9
810,control,49,am,25,171,0,10
878,control,45,pm,25,171,0,8
879,control,45,pm,25,171,0,9
880,control,45,pm,25,171,1,10
888,control,47,pm,25,171,1,8
889,control,47,pm,25,171,0,9
890,control,47,pm,25,171,0,10
898,control,49,pm,25,171,0,8
899,control,49,pm,25,171,0,9
900,control,49,pm,25,171,0,10
938,control,45,am,25,172,0,8
939,control,45,am,25,172,0,9
940,control,45,am,25,172,0,10
948,control,47,am,25,172,0,8
949,control,47,am,25,172,1,9
950,control,47,am,25,172,0,10
958,control,49,am,25,172,0,8
959,control,49,am,25,172,0,9
960,control,49,am,25,172,1,10
968,control,47,pm,25,172,0,8
969,control,47,pm,25,172,1,9
970,control,47,pm,25,172,1,10
978,control,45,pm,25,172,1,8
979,control,45,pm,25,172,0,9
980,control,45,pm,25,172,1,10
988,control,49,pm,25,172,2,8
989,control,49,pm,25,172,1,9
990,control,49,pm,25,172,0,10
1028,control,46,pm,26,177,0,8
1029,control,46,pm,26,177,0,9
1030,control,46,pm,26,177,0,10
1038,control,48,pm,26,177,1,8
1039,control,48,pm,26,177,0,9
1040,control,48,pm,26,177,0,10
1048,control,50,pm,26,177,1,8
1049,control,50,pm,26,177,1,9
1050,control,50,pm,26,177,0,10
1088,control,46,am,26,177,0,8
1089,control,46,am,26,177,0,9
1090,control,46,am,26,177,0,10
1098,control,48,am,26,177,0,8
1099,control,48,am,26,177,1,9
1100,control,48,am,26,177,0,10
1108,control,50,am,26,177,0,8
1109,control,50,am,26,177,0,9
1110,control,50,am,26,177,0,10
1148,control,46,pm,26,178,2,8
1149,control,46,pm,26,178,0,9
1150,control,46,pm,26,178,0,10
1158,control,48,pm,26,178,0,8
1159,control,48,pm,26,178,0,9
1160,control,48,pm,26,178,1,10
1168,control,50,pm,26,178,0,8
1169,control,50,pm,26,178,0,9
1170,control,50,pm,26,178,0,10
1178,control,46,am,26,178,2,8
1179,control,46,am,26,178,0,9
1180,control,46,am,26,178,0,10
1188,control,48,am,26,178,0,8
1189,control,48,am,26,178,0,9
1190,control,48,am,26,178,0,10
1198,control,50,am,26,178,1,8
1199,control,50,am,26,178,0,9
1200,control,50,am,26,178,0,10
1268,control,46,am,26,179,0,8
1269,control,46,am,26,179,0,9
1270,control,46,am,26,179,0,10
1278,control,48,am,26,179,1,8
1279,control,48,am,26,179,0,9
1280,control,48,am,26,179,0,10
1288,control,50,am,26,179,0,8
1289,control,50,am,26,179,0,9
1290,control,50,am,26,179,0,10
1328,control,46,pm,26,179,0,8
1329,control,46,pm,26,179,1,9
1330,control,46,pm,26,179,0,10
1338,control,48,pm,26,179,0,8
1339,control,48,pm,26,179,0,9
1340,control,48,pm,26,179,0,10
1348,control,50,pm,26,179,0,8
1349,control,50,pm,26,179,0,9
1350,control,50,pm,26,179,0,10
1388,control,47,pm,27,183,0,8
1389,control,47,pm,27,183,0,9
1390,control,47,pm,27,183,0,10
1398,control,49,pm,27,183,0,8
1399,control,49,pm,27,183,0,9
1400,control,49,pm,27,183,0,10
1408,control,51,pm,27,183,1,8
1409,control,51,pm,27,183,0,9
1410,control,51,pm,27,183,0,10
1448,control,47,am,27,183,0,8
1449,control,47,am,27,183,0,9
1450,control,47,am,27,183,0,10
1458,control,49,am,27,183,0,8
1459,control,49,am,27,183,1,9
1460,control,49,am,27,183,0,10
1468,control,51,am,27,183,1,8
1469,control,51,am,27,183,0,9
1470,control,51,am,27,183,0,10
1508,control,47,am,27,184,0,8
1509,control,47,am,27,184,0,9
1510,control,47,am,27,184,0,10
1518,control,49,am,27,184,0,8
1519,control,49,am,27,184,0,9
1520,control,49,am,27,184,0,10
1528,control,51,am,27,184,0,8
1529,control,51,am,27,184,0,9
1530,control,51,am,27,184,0,10
1568,control,44,pm,28,191,0,8
1569,control,44,pm,28,191,0,9
1570,control,44,pm,28,191,0,10
1578,control,46,pm,28,191,1,8
1579,control,46,pm,28,191,0,9
1580,control,46,pm,28,191,0,10
1588,control,48,pm,28,191,1,8
1589,control,48,pm,28,191,0,9
1590,control,48,pm,28,191,2,10
1658,control,46,am,28,191,0,8
1659,control,46,am,28,191,0,9
1660,control,46,am,28,191,0,10
1668,control,48,am,28,191,0,8
1669,control,48,am,28,191,0,9
1670,control,48,am,28,191,0,10
1678,control,44,am,28,191,0,8
1679,control,44,am,28,191,0,9
1680,control,44,am,28,191,0,10
1718,control,44,pm,28,192,1,8
1719,control,44,pm,28,192,0,9
1720,control,44,pm,28,192,0,10
1728,control,46,pm,28,192,0,8
1729,control,46,pm,28,192,0,9
1730,control,46,pm,28,192,0,10
1738,control,48,pm,28,192,0,8
1739,control,48,pm,28,192,0,9
1740,control,48,pm,28,192,0,10
1778,control,44,am,28,192,0,8
1779,control,44,am,28,192,0,9
1780,control,44,am,28,192,0,10
1788,control,46,am,28,192,0,8
1789,control,46,am,28,192,0,9
1790,control,46,am,28,192,0,10
1798,control,48,am,28,192,0,8
1799,control,48,am,28,192,0,9
1800,control,48,am,28,192,0,10
1838,control,44,am,28,193,0,8
1839,control,44,am,28,193,0,9
1840,control,44,am,28,193,0,10
1848,control,46,am,28,193,2,8
1849,control,46,am,28,193,0,9
1850,control,46,am,28,193,0,10
1858,control,48,am,28,193,0,8
1859,control,48,am,28,193,0,9
1860,control,48,am,28,193,0,10
1898,control,44,pm,28,193,0,8
1899,control,44,pm,28,193,0,9
1900,control,44,pm,28,193,0,10
1908,control,46,pm,28,193,0,8
1909,control,46,pm,28,193,0,9
1910,control,46,pm,28,193,0,10
1918,control,48,pm,28,193,1,8
1919,control,48,pm,28,193,0,9
1920,control,48,pm,28,193,0,10
1928,control,48,pm,29,201,0,8
1929,control,48,pm,29,201,0,9
1930,control,48,pm,29,201,0,10
1938,control,50,pm,29,201,1,8
1939,control,50,pm,29,201,0,9
1940,control,50,pm,29,201,0,10
1948,control,52,pm,29,201,1,8
1949,control,52,pm,29,201,0,9
1950,control,52,pm,29,201,0,10
1988,control,48,am,29,201,1,8
1989,control,48,am,29,201,0,9
1990,control,48,am,29,201,0,10
1998,control,50,am,29,201,0,8
1999,control,50,am,29,201,0,9
2000,control,50,am,29,201,0,10
2008,control,52,am,29,201,0,8
2009,control,52,am,29,201,0,9
2010,control,52,am,29,201,0,10
2048,control,48,pm,29,202,0,8
2049,control,48,pm,29,202,0,9
2050,control,48,pm,29,202,1,10
2058,control,50,pm,29,202,0,8
2059,control,50,pm,29,202,0,9
2060,control,50,pm,29,202,0,10
2068,control,52,pm,29,202,0,8
2069,control,52,pm,29,202,0,9
2070,control,52,pm,29,202,2,10
2108,control,48,am,29,202,0,8
2109,control,48,am,29,202,0,9
2110,control,48,am,29,202,0,10
2118,control,50,am,29,202,0,8
2119,control,50,am,29,202,0,9
2120,control,50,am,29,202,0,10
2128,control,52,am,29,202,0,8
2129,control,52,am,29,202,0,9
2130,control,52,am,29,202,0,10
2168,control,48,pm,29,203,0,8
2169,control,48,pm,29,203,0,9
2170,control,48,pm,29,203,0,10
2178,control,50,pm,29,203,0,8
2179,control,50,pm,29,203,0,9
2180,control,50,pm,29,203,0,10
2188,control,52,pm,29,203,0,8
2189,control,52,pm,29,203,0,9
2190,control,52,pm,29,203,1,10
2228,control,48,am,29,203,0,8
2229,control,48,am,29,203,0,9
2230,control,48,am,29,203,0,10
2238,control,50,am,29,203,0,8
2239,control,50,am,29,203,0,9
2240,control,50,am,29,203,0,10
2248,control,52,am,29,203,0,8
2249,control,52,am,29,203,0,9
2250,control,52,am,29,203,0,10
2288,control,48,am,30,204,0,8
2289,control,48,am,30,204,0,9
2290,control,48,am,30,204,0,10
2298,control,50,am,30,204,0,8
2299,control,50,am,30,204,0,9
2300,control,50,am,30,204,0,10
