,values
22,0.7321509671516137
46,0.7680204848121635
63,0.7776874990490744
96,0.8604384423838541
130,0.6622147552431615
135,0.7308823775696857
137,0.7802646185949914
161,0.8125540298637435
210,0.8553645508140074
232,0.912030400483359
262,0.6958272378400405
266,0.7822029203016836
279,0.6234685933422899
282,0.6559587945201598
295,0.7582132743824235
296,0.5399919810413755
393,0.8086547713455117
422,0.7834925365828408
438,0.8479050045360176
453,0.6591865650880432
469,0.804020446727572
480,0.8576425237278474
518,0.7937325969687901
544,0.8970379060352996
551,0.6403002347781238
560,0.6398271634061863
566,0.7281937539665921
601,0.8580261911299936
625,0.7587204426640619
638,0.800321914730395
646,0.5739886101848239
696,0.7043626530244864
706,0.7357289780246634
718,0.6561130554175737
730,0.852885138602896
736,0.5087182754980114
744,0.5103825396958458
752,0.7230318721482363
801,0.814138386911088
804,0.8999106722936925
858,0.6577026625068951
860,0.6097010944333792
871,0.9347990290779806
886,0.7054216338408485
890,0.9565773650232618
891,0.848286366250557
914,0.7211897133950859
916,0.5751156675552808
931,0.5696002383405901
937,0.4991118713471798
945,0.9176495003655387
952,0.6832016305014847
985,0.7903075816468406
1029,0.761846134923168
1034,0.7670121791899904
1062,0.6296070533207125
1081,0.8646527452006401
1135,0.7459945207230759
1147,0.5561453910929798
1168,0.6067253938915361
1197,0.7232632024317605
1198,0.9135761678376915
1209,0.8011770933557685
1240,0.8435973556569453
1286,0.6624389361657108
1291,0.8013140968567278
1316,0.7903103019230543
1356,0.6620656576949076
1370,0.8675820402649187
1433,0.668492233879858
1444,0.6500832405550684
1458,0.7919547024707244
1465,0.8110578120365313
1470,0.8214880511426269
1482,0.8651096771991412
1491,0.7788881169111498
1496,0.6874303576420665
1505,0.6011277041993733
1509,0.7596783610799829
1511,0.7857764512376169
1535,0.7091055800219243
1541,0.5274745431953821
1588,0.757718054239501
1590,0.8355274515153105
1599,0.7015836372880122
1612,0.6214306348694111
1659,0.6687399939056268
1678,0.6574239554437905
1692,0.5781109787396458
1697,0.759329768419511
1713,0.8729151005797832
1727,0.7593687900802653
1740,0.610579067191102
1751,0.5165156486668302
1755,0.6832728644687283
1792,0.8729952748835945
1822,0.6503831833166698
1863,0.5771851208178207
1878,0.8485692000792868
1959,0.7193593615924728
1977,0.8994047133745416
1983,0.6266142277293051
1984,0.6982413075867364
1987,0.8205638623067018
1995,0.7273195825884083
1996,0.5520909538041106
2006,0.9016212617039472
2014,0.7992200587510363
2025,0.6087718340415819
2027,0.7766784610677986
2041,0.6737475953264737
2079,0.636881764996799
2090,0.7903623921075904
2092,0.8502608095494667
2094,0.6710966990654127
2096,0.8677957141754016
2101,0.6665089332898444
2111,0.7476323334966617
2122,0.5718941778660415
2133,0.5377881516725203
2143,0.7288473997154362
2158,0.7554115940331703
2206,0.591103586242931
2274,0.8408058201440988
2287,0.8454552535526259
2292,0.8897523969595479
2297,0.7692351905409806
2367,0.5354031175115049
2371,0.5865419657736276
2384,0.46464186864733714
2395,0.6818646136628854
2431,0.6797360469328318
2449,0.8196650491383518
2462,0.9251071233591989
2467,0.7533297192101646
2486,0.8072055718169476
2515,0.7605573183528554
2534,0.4764695411302995
2535,0.8849199596800507
2546,0.6201387083272099
2553,0.5114513650088667
2574,0.801542977987761
2579,0.656932146744481
2599,0.6823676067045014
2620,0.5754031894179537
2636,0.6286656467325201
2642,0.6573900906394546
2678,0.662436294483013
2688,0.7370085216497984
2702,0.6207280075015316
2706,0.6137419169623616
2737,0.8311199419924962
2741,0.6483877192189251
2751,0.8947405680875814
2802,0.7300565734347607
2820,0.6093010709847474
2827,0.7690346931985873
2830,0.5193875825469024
2882,0.5413934309060162
2906,0.6162390044973768
2947,0.7625884692868685
2990,0.8126872063550241
3001,0.7397101760103038
3002,0.5312196573030157
3018,0.7789780249024784
3027,0.7927767163732548
3059,0.7022270167494545
3104,0.6110898064294898
3106,0.7977117219239418
3138,0.7086946466707328
3151,0.5984667326164328
3158,0.6905853740624681
3169,0.5542708728638657
3173,0.33319079480456015
3177,0.7256547589082599
3179,0.8217610345751214
3231,0.6518301880354664
3279,0.8754438454208999
3299,0.6908879581171851
3326,0.3810103198482995
3389,0.5359263905446751
3391,0.7877918417133077
3477,0.8228192581113334
3481,0.8142292711597958
3484,0.804799462255658
3511,0.7828764700796577
3546,0.7295534860521611
3560,0.6213295488933175
3577,0.612943613233349
3609,0.6362492226276053
3613,0.5849616491614744
3623,0.6535069250010707
3629,0.662606224544469
3630,0.9064053044861214
3634,0.7815113648676639
3638,0.7042759972208849
3647,0.4467786558155086
3677,0.7808252961881348
3735,0.4856659413429806
3742,0.6795490466647448
3754,0.823134931894875
3755,0.7731024333117339
3758,0.6729065335542432
3760,0.5611027666434837
3773,0.7308895970985185
3776,0.8208069485365262
3780,0.7251921196410293
3800,0.6757641708880409
3805,0.5669908998683614
3840,0.7015053579718408
