julian,time,week,ng1,ng2,ng3,ng4,ng5,ng6,ng7,ng8,ng9
157,am,23,0.84,0.4838709677419355,0.7037037037037037,0.7037037037037037,0.7037037037037037,1.0,0.4838709677419355,1.0,0.7037037037037037
158,am,23,0.7037037037037037,0.7037037037037037,1.0,0.4838709677419355,0.4375,0.3142857142857143,0.4838709677419355,0.4838709677419355,0.3142857142857143
162,am,24,0.4375,0.3939393939393939,0.5862068965517241,0.4838709677419355,0.4838709677419355,0.7037037037037037,1.0,0.5862068965517241,0.3142857142857143
163,am,24,0.4838709677419355,0.3142857142857143,0.4838709677419355,0.7037037037037037,0.5862068965517241,1.0,0.5862068965517241,0.5333333333333333,0.5333333333333333
164,am,24,0.5862068965517241,0.3939393939393939,0.24324324324324326,0.5333333333333333,0.35294117647058826,0.7037037037037037,0.5862068965517241,0.4375,0.5862068965517241
170,am,25,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.24324324324324326,0.3939393939393939,0.3939393939393939
171,am,25,0.5862068965517241,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.6428571428571429,0.4375,0.3142857142857143,0.5862068965517241,0.3142857142857143
172,am,25,0.84,0.5862068965517241,0.7037037037037037,0.5862068965517241,0.84,0.5333333333333333,0.5862068965517241,0.84,0.7037037037037037
177,am,26,1.0,0.7037037037037037,0.7037037037037037,0.5862068965517241,0.84,0.84,1.0,0.7037037037037037,0.7037037037037037
178,am,26,0.4375,0.3142857142857143,0.7037037037037037,0.3939393939393939,0.3142857142857143,0.7037037037037037,0.4838709677419355,1.0,0.4838709677419355
179,am,26,0.7037037037037037,0.7037037037037037,1.0,0.7037037037037037,0.7037037037037037,1.0,0.7037037037037037,0.7037037037037037,1.0
183,am,27,0.7037037037037037,0.4838709677419355,0.7037037037037037,0.4838709677419355,0.7037037037037037,0.4838709677419355,0.7037037037037037,0.4838709677419355,0.7037037037037037
191,am,28,0.7037037037037037,0.5862068965517241,1.0,1.0,0.84,0.7037037037037037,0.5862068965517241,0.4838709677419355,0.7037037037037037
192,am,28,0.4838709677419355,0.7037037037037037,0.7037037037037037,0.6428571428571429,0.3939393939393939,0.3939393939393939,0.4838709677419355,0.7037037037037037,0.7037037037037037
193,am,28,0.6428571428571429,0.5862068965517241,0.7037037037037037,0.5862068965517241,1.0,0.7037037037037037,0.5862068965517241,1.0,0.7037037037037037
201,am,29,0.4838709677419355,0.7037037037037037,0.7037037037037037,0.4838709677419355,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.5862068965517241
202,am,29,0.4838709677419355,0.7037037037037037,1.0,0.7037037037037037,1.0,0.7037037037037037,0.7037037037037037,1.0,0.7037037037037037
204,am,30,0.4838709677419355,0.4838709677419355,0.3142857142857143,0.3142857142857143,0.3142857142857143,0.4838709677419355,1.0,1.0,0.06976744186046512
205,am,30,0.7037037037037037,0.7037037037037037,0.7037037037037037,1.0,0.7037037037037037,0.7037037037037037,0.7037037037037037,1.0,0.4838709677419355
206,am,30,1.0,1.0,0.7037037037037037,1.0,1.0,0.7037037037037037,1.0,1.0,0.7037037037037037
212,am,31,1.0,1.0,0.4838709677419355,0.7037037037037037,0.7037037037037037,0.5862068965517241,0.7037037037037037,0.7037037037037037,0.7037037037037037
213,am,31,0.7037037037037037,0.4838709677419355,0.7037037037037037,0.7037037037037037,0.4838709677419355,0.7037037037037037,0.7037037037037037,0.4838709677419355,0.7037037037037037
214,am,31,0.7037037037037037,0.6428571428571429,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037
218,am,32,1.0,0.7037037037037037,1.0,0.7037037037037037,0.5862068965517241,0.7037037037037037,1.0,0.7037037037037037,1.0
219,am,32,0.7037037037037037,1.0,0.7037037037037037,0.7037037037037037,1.0,0.7037037037037037,0.5862068965517241,0.7037037037037037,0.5862068965517241
220,am,32,0.7037037037037037,1.0,1.0,0.7037037037037037,1.0,1.0,0.7037037037037037,1.0,1.0
234,am,34,0.7037037037037037,1.0,1.0,0.7037037037037037,1.0,1.0,0.7037037037037037,1.0,1.0
235,am,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
236,am,34,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
