julian,time,week,ng1,ng2,ng3,ng4,ng5,ng6,ng7,ng8,ng9
156,pm,23,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.84,1.0
157,pm,23,0.7037037037037037,1.0,0.7037037037037037,0.84,0.84,0.7037037037037037,0.4838709677419355,0.7037037037037037,0.4838709677419355
158,pm,23,0.5333333333333333,0.6428571428571429,0.7037037037037037,0.2777777777777778,0.4838709677419355,0.5333333333333333,0.35294117647058826,0.5862068965517241,0.7037037037037037
162,pm,24,0.3142857142857143,0.35294117647058826,0.4838709677419355,0.24324324324324326,0.7037037037037037,0.3939393939393939,0.6428571428571429,0.5862068965517241,0.3142857142857143
163,pm,24,0.3939393939393939,0.3939393939393939,0.7037037037037037,0.5862068965517241,0.84,0.7037037037037037,0.24324324324324326,0.4838709677419355,0.3939393939393939
164,pm,24,0.3939393939393939,0.7037037037037037,0.3142857142857143,0.4838709677419355,0.4375,0.3939393939393939,0.3939393939393939,0.3939393939393939,0.4838709677419355
170,pm,25,0.5862068965517241,0.5862068965517241,1.0,0.3142857142857143,0.3142857142857143,0.4838709677419355,0.4838709677419355,0.4838709677419355,0.7037037037037037
171,pm,25,0.7037037037037037,0.5862068965517241,0.7037037037037037,0.4375,0.7692307692307693,0.6428571428571429,0.7037037037037037,0.84,1.0
172,pm,25,0.5862068965517241,0.7037037037037037,0.6428571428571429,0.3939393939393939,0.6428571428571429,0.7037037037037037,0.4838709677419355,0.5862068965517241,1.0
177,pm,26,0.4838709677419355,0.7037037037037037,0.5862068965517241,0.7037037037037037,1.0,0.84,0.7037037037037037,0.5862068965517241,0.4838709677419355
178,pm,26,0.7037037037037037,0.5862068965517241,0.7037037037037037,0.5862068965517241,0.4838709677419355,0.7037037037037037,0.5862068965517241,0.3142857142857143,0.7037037037037037
179,pm,26,0.7037037037037037,0.4838709677419355,0.4838709677419355,1.0,0.7037037037037037,0.7037037037037037,1.0,0.7037037037037037,0.7037037037037037
183,pm,27,0.5862068965517241,0.84,1.0,0.24324324324324326,0.4838709677419355,0.4838709677419355,0.3939393939393939,0.7037037037037037,0.7037037037037037
191,pm,28,0.5862068965517241,0.5862068965517241,0.4838709677419355,0.4375,0.84,0.7037037037037037,0.4838709677419355,0.6428571428571429,0.5333333333333333
192,pm,28,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.4838709677419355,1.0,0.4838709677419355
193,pm,28,0.6428571428571429,0.7037037037037037,0.84,0.24324324324324326,0.3142857142857143,0.4838709677419355,0.4838709677419355,0.5862068965517241,0.84
201,pm,29,0.5862068965517241,0.5862068965517241,0.7692307692307693,1.0,1.0,0.7037037037037037,0.5862068965517241,0.5862068965517241,0.84
202,pm,29,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037,0.7037037037037037
204,pm,30,0.5862068965517241,0.7037037037037037,0.5862068965517241,0.84,1.0,0.84,0.3939393939393939,0.4838709677419355,0.3939393939393939
205,pm,30,0.7037037037037037,0.84,0.7037037037037037,1.0,0.5862068965517241,1.0,1.0,0.5862068965517241,1.0
206,pm,30,0.7037037037037037,1.0,1.0,1.0,0.7037037037037037,0.7037037037037037,1.0,0.7037037037037037,0.7037037037037037
212,pm,31,0.4838709677419355,0.4838709677419355,0.7037037037037037,1.0,1.0,0.7037037037037037,0.7037037037037037,0.7037037037037037,1.0
213,pm,31,0.7037037037037037,0.7037037037037037,1.0,0.7037037037037037,0.7037037037037037,1.0,1.0,1.0,0.7037037037037037
214,pm,31,0.7037037037037037,1.0,0.7037037037037037,0.7037037037037037,1.0,0.7037037037037037,0.84,0.5862068965517241,0.84
218,pm,32,0.7037037037037037,0.7037037037037037,1.0,1.0,1.0,0.7037037037037037,0.7037037037037037,0.7037037037037037,1.0
219,pm,32,0.5333333333333333,0.3939393939393939,0.3939393939393939,0.5862068965517241,0.7037037037037037,0.7037037037037037,0.4838709677419355,1.0,0.7037037037037037
220,pm,32,0.4838709677419355,0.4838709677419355,0.4838709677419355,1.0,1.0,1.0,1.0,1.0,1.0
234,pm,34,1.0,1.0,1.0,0.7037037037037037,0.7037037037037037,0.7037037037037037,1.0,1.0,1.0
235,pm,34,1.0,1.0,0.7037037037037037,1.0,1.0,0.7037037037037037,1.0,1.0,0.7037037037037037
236,pm,34,1.0,0.7037037037037037,0.7037037037037037,1.0,0.7037037037037037,0.7037037037037037,1.0,0.7037037037037037,0.7037037037037037
