triplet,index_0,index_1,index_2,ngram_0,ngram_1,ngram_2
121,0.8,1.0,0.8,0.586,1.0,0.586
122,0.8,0.6,0.8,0.533,0.394,0.643
123,0.9,1.0,0.9,0.643,0.704,0.704
124,0.5,0.8,0.7,0.314,0.484,0.353
125,0.8,0.9,0.9,0.438,0.769,0.484
126,1.0,0.9,0.9,0.586,0.586,0.438
127,0.9,0.8,0.9,0.484,0.353,0.438
128,0.8,0.8,0.6,0.533,0.353,0.278
129,1.0,0.9,0.9,0.484,0.704,0.438
130,0.9,1.0,0.9,0.704,0.643,0.484
131,0.8,0.9,0.9,0.586,0.704,0.84
132,0.8,1.0,0.8,0.484,0.643,0.586
133,0.6,0.5,0.9,0.394,0.314,0.484
134,0.9,0.8,0.9,0.484,0.438,0.769
135,1.0,0.7,0.7,0.643,0.394,0.314
136,0.6,0.7,0.9,0.394,0.484,0.484
137,0.8,0.8,1.0,0.586,0.533,0.643
138,0.7,1.0,0.7,0.484,0.643,0.394
139,1.0,1.0,1.0,0.643,0.438,0.484
140,0.8,0.6,0.8,0.704,0.314,0.438
141,0.5,0.9,0.6,0.122,0.484,0.394
142,0.8,0.7,0.5,0.314,0.394,0.314
143,0.9,0.7,0.6,0.586,0.314,0.484
144,1.0,0.8,0.8,0.484,0.484,0.586
145,0.9,0.8,0.9,0.704,0.484,0.643
146,1.0,0.8,0.8,0.643,0.533,0.484
147,0.8,0.5,0.3,0.484,0.179,0.095
148,0.7,0.8,0.9,0.278,0.353,0.586
149,0.9,0.9,0.8,0.484,0.484,0.643
150,0.8,0.9,0.9,0.438,0.643,0.484
151,1.0,0.7,0.7,0.314,0.394,0.484
152,0.7,0.7,1.0,0.353,0.484,0.484
153,1.0,0.7,0.7,0.704,0.484,0.394
154,0.7,0.9,0.6,0.278,0.769,0.243
155,0.8,0.8,1.0,0.586,0.394,0.704
156,0.8,0.7,0.9,0.314,0.484,0.484
157,0.9,0.6,0.7,0.484,0.314,0.278
158,1.0,0.9,0.9,0.438,0.643,0.533
159,0.9,0.9,0.8,0.438,0.643,0.586
160,0.7,0.9,0.8,0.438,0.533,0.586
161,0.9,1.0,0.9,0.484,0.484,0.586
162,0.9,0.9,1.0,0.394,0.769,0.484
163,1.0,0.7,0.7,0.704,0.438,0.438
164,0.7,1.0,0.7,0.438,0.643,0.438
165,0.7,0.7,1.0,0.586,0.438,0.484
166,1.0,0.9,0.9,0.586,0.704,0.704
167,0.9,1.0,0.9,0.278,0.704,0.438
168,0.8,0.6,0.8,0.586,0.278,0.533
169,1.0,0.8,0.8,0.533,0.586,0.314
170,0.5,0.6,0.9,0.314,0.314,0.533
171,0.9,0.8,0.9,0.484,0.533,0.394
172,0.9,1.0,0.9,0.278,0.643,0.438
173,0.9,0.9,0.8,0.484,0.643,0.484
174,0.9,0.8,0.7,0.353,0.586,0.394
175,0.8,0.9,0.7,0.278,0.484,0.353
176,1.0,0.9,0.9,0.704,0.704,0.586
177,0.9,0.8,0.9,0.438,0.438,0.533
178,0.7,0.7,1.0,0.314,0.586,0.484
179,0.9,0.7,0.6,0.704,0.394,0.394
180,0.9,1.0,0.9,0.586,0.643,0.704
181,0.7,0.6,0.9,0.484,0.353,0.586
182,0.7,1.0,0.7,0.314,0.586,0.438
183,0.7,0.9,0.8,0.484,0.438,0.394
184,1.0,0.6,0.6,0.704,0.243,0.243
185,0.8,0.9,0.9,0.586,0.533,0.484
186,0.8,0.8,0.6,0.586,0.314,0.278
187,0.9,0.9,0.8,0.438,0.484,0.314
188,0.8,0.8,0.6,0.314,0.586,0.278
189,0.9,0.9,1.0,0.484,0.438,0.314
190,0.9,0.8,0.9,0.533,0.704,0.643
191,0.9,0.8,0.9,0.314,0.484,0.278
192,1.0,0.9,0.9,1.0,0.704,0.704
193,0.9,0.9,1.0,0.533,0.314,0.438
194,0.7,0.9,0.6,0.278,0.586,0.278
195,0.9,0.8,0.9,0.533,0.484,0.438
196,0.9,0.9,1.0,0.704,0.438,0.586
197,0.9,0.9,0.8,0.484,0.314,0.586
198,0.6,0.7,0.9,0.314,0.438,0.484
199,0.9,0.8,0.9,0.704,0.586,0.704
200,0.9,0.7,0.8,0.533,0.394,0.438
201,0.7,0.8,0.5,0.394,0.704,0.243
202,0.6,0.9,0.5,0.394,0.704,0.314
203,0.7,1.0,0.7,0.438,0.586,0.314
204,0.6,0.8,0.8,0.179,0.278,0.586
205,0.8,0.6,0.8,0.586,0.243,0.484
206,0.6,0.7,0.3,0.278,0.243,0.045
207,0.8,0.6,0.4,0.314,0.211,0.243
208,1.0,0.8,0.8,0.484,0.314,0.586
209,0.8,0.8,1.0,0.314,0.484,0.643
210,0.9,0.8,0.9,0.704,0.353,0.484
211,0.8,1.0,0.8,0.353,0.278,0.586
212,0.6,1.0,0.6,0.353,0.586,0.314
213,0.6,0.6,1.0,0.314,0.353,0.586
214,0.8,0.9,0.7,0.484,0.704,0.314
215,0.9,0.8,0.9,0.394,0.353,0.533
216,0.8,0.9,0.9,0.533,0.484,0.484
217,0.6,0.8,0.8,0.314,0.438,0.586
218,1.0,0.9,0.9,0.586,0.643,0.704
219,0.8,1.0,0.8,0.484,0.704,0.533
220,0.8,1.0,0.8,0.533,0.586,0.484
221,0.9,0.9,1.0,0.643,0.438,0.704
222,0.9,0.8,0.9,0.394,0.643,0.438
223,0.9,0.9,0.8,0.484,0.533,0.394
224,0.8,0.8,1.0,0.438,0.394,0.704
225,0.8,0.9,0.9,0.533,0.586,0.84
226,0.6,0.9,0.7,0.353,0.704,0.278
227,0.8,0.9,0.9,0.533,0.84,0.586
228,0.7,0.8,0.9,0.438,0.586,0.484
229,1.0,0.7,0.7,0.586,0.353,0.484
230,0.8,0.8,1.0,0.314,0.586,0.394
231,0.9,0.9,1.0,0.394,0.586,0.704
232,0.7,1.0,0.7,0.394,0.84,0.394
233,0.9,1.0,0.9,0.533,0.84,0.533
234,0.9,1.0,0.9,0.704,0.438,0.314
235,0.6,0.6,1.0,0.211,0.314,0.643
236,1.0,0.7,0.7,0.394,0.484,0.353
237,0.8,0.9,0.9,0.438,0.643,0.704
238,0.8,1.0,0.8,0.586,0.704,0.586
239,0.8,0.9,0.7,0.643,0.586,0.484
240,1.0,0.8,0.8,0.586,0.533,0.484
241,0.7,0.6,0.9,0.394,0.243,0.704
242,0.7,0.8,0.9,0.353,0.704,0.533
243,0.9,0.9,1.0,0.484,0.84,0.484
244,0.9,0.8,0.7,0.438,0.353,0.394
245,0.9,0.9,0.8,0.84,0.484,0.394
246,0.8,0.8,0.6,0.484,0.278,0.394
247,0.8,0.8,1.0,0.586,0.394,0.438
248,0.9,0.8,0.7,0.586,0.353,0.278
249,0.7,0.8,0.9,0.484,0.484,0.704
250,0.9,1.0,0.9,0.438,1.0,0.438
251,0.9,0.8,0.9,0.84,0.586,0.704
252,0.7,0.9,0.6,0.314,0.704,0.314
253,0.9,0.8,0.7,0.484,0.586,0.353
254,0.8,0.9,0.7,0.704,0.484,0.314
255,0.9,0.8,0.9,0.704,0.278,0.278
256,0.9,0.9,0.8,0.484,0.484,0.586
257,0.9,0.7,0.6,0.533,0.394,0.353
258,0.8,0.8,0.6,0.484,0.643,0.278
259,0.8,0.9,0.7,0.533,0.704,0.394
260,0.8,0.8,0.6,0.704,0.533,0.353
261,0.7,0.8,0.5,0.243,0.314,0.314
262,0.8,1.0,0.8,0.533,0.704,0.533
263,0.9,0.9,0.8,0.533,0.704,0.394
264,1.0,0.6,0.6,0.586,0.394,0.353
265,0.5,0.5,1.0,0.211,0.278,0.704
266,0.9,0.8,0.7,0.484,0.586,0.314
267,0.9,0.8,0.7,0.643,0.533,0.438
268,0.8,1.0,0.8,0.438,0.704,0.586
269,1.0,1.0,1.0,0.643,0.484,0.643
270,0.7,0.8,0.9,0.484,0.586,0.484
271,0.8,1.0,0.8,0.394,0.704,0.353
272,0.7,0.6,0.9,0.278,0.179,0.643
273,0.8,1.0,0.8,0.353,0.704,0.314
274,0.8,0.8,0.6,0.438,0.484,0.484
275,0.9,0.7,0.6,0.769,0.394,0.353
276,0.9,0.9,0.8,0.438,0.438,0.704
277,0.9,0.7,0.8,0.769,0.394,0.484
278,0.9,0.8,0.7,0.704,0.438,0.533
279,0.6,0.9,0.7,0.314,0.438,0.353
280,1.0,0.7,0.7,0.394,0.278,0.394
281,0.9,0.9,1.0,0.586,0.586,0.438
282,0.9,0.7,0.6,0.704,0.484,0.353
283,0.8,0.6,0.8,0.586,0.314,0.533
284,0.8,0.9,0.7,0.586,0.484,0.394
285,0.9,0.9,0.8,0.438,0.704,0.394
286,0.9,0.9,0.8,0.484,0.438,0.586
287,0.9,0.8,0.9,0.484,0.438,0.586
288,0.5,0.6,0.9,0.15,0.314,0.533
289,1.0,0.9,0.9,1.0,0.586,0.586
290,0.8,1.0,0.8,0.586,0.704,0.533
291,0.7,0.8,0.9,0.484,0.438,0.704
292,0.2,0.6,0.6,0.022,0.314,0.243
293,0.9,1.0,0.9,0.704,0.643,0.438
294,0.7,0.9,0.6,0.314,0.484,0.394
295,0.9,0.9,1.0,0.314,0.484,0.704
