,oakMargin:pm:week-cluster-1,oakMargin:pm:week-cluster-2,oakMargin:pm:week-cluster-3,oakMargin:am:week-cluster-1,oakMargin:am:week-cluster-2,oakMargin:am:week-cluster-3,control:pm:week-cluster-1,control:pm:week-cluster-2,control:pm:week-cluster-3,control:am:week-cluster-1,control:am:week-cluster-2,control:am:week-cluster-3
0,0.28836860725646274,0.1557916747903677,0.11023375561771886,0.2027038588246678,0.026017607112853613,0.007965929894533152,0.41892846112316573,0.15275128271189797,0.05150845820010275,0.23761705239516528,0.07383972195278987,0.11277759873928928
1,0.4021560320071236,0.14894076379359145,0.03476101671732512,0.10842957984763002,0.03393196538996179,0.03596454331568277,0.3192541242666379,0.19697441834579654,0.0025731521834106985,0.22072273388534325,0.05630340186661009,0.03780467524351405
2,0.4201491435535858,0.15821588406548315,0.05946803503573517,0.23562486731568433,0.043485860431620615,0.003913415379159124,0.40230827858024654,0.2320614397048445,0.004089382159916277,0.1720439049335991,0.08967429690399542,0.025229140626179758
3,0.2950406900807666,0.17754276403899716,0.027483101126169363,0.10174406196733554,0.0494232175585394,0.028893078530898064,0.33987731236706076,0.18856636979059216,0.061491964283575284,0.20461525156366023,0.11451086111515585,0.09953226159153139
4,0.2967375475805931,0.13326532565176674,0.02350068298781005,0.12145993826430201,0.02467137096686567,5.54553015548187e-05,0.36033092991260507,0.1279278350526536,0.0041911585037780474,0.18679116253848815,0.08199069327465025,0.05109739473574548
5,0.2952074613403727,0.13806012096680498,0.059045122904152536,0.11404525954653955,0.0354094222999336,0.004456447938588459,0.3815028724285754,0.20075606436012694,0.029704577049757375,0.17609322341969758,0.06814874143802852,0.05041438600873327
6,0.39196480092265207,0.16692577961258925,0.07159594098723654,0.16404952961270092,0.05506154412384434,0.02082313614176068,0.36756835426277756,0.15604755207114163,0.009335422797609794,0.15389666628652843,0.04397357721128703,0.047614009567170434
7,0.297643057106041,0.16374704570661347,0.05844217474051272,0.15422533671265903,0.03375992719136078,0.02894800334559855,0.37157948255304485,0.13331046870468388,0.027370496114646148,0.19847312611234236,0.088070771383845,0.0671419749718486
8,0.3035124238069845,0.12547739981764716,0.08352967693268498,0.11497702584162184,0.04803274029906823,0.0002507424935919156,0.40044848397994914,0.14523230332083914,0.003986881687712218,0.2570535460793445,0.04650326217358425,0.043539384209241194
9,0.3744459364390581,0.15990798577988397,0.02822414665333217,0.12393979332139538,0.040776920434582586,0.026654872825697562,0.45125301718901756,0.19708100873070578,0.018952312244009284,0.1346277692381136,0.06298364260270817,0.042884515848636395
10,0.3008589418835007,0.18094399106779024,0.020796831248969916,0.09125949886798101,0.02873884673223992,0.010436445633071778,0.48390888406309807,0.2239862506069098,0.009848249087307859,0.11306733725757678,0.060302533424555826,0.023533032108036034
