,transect,row,time,week,julian,count,position
31,control,48,pm,23,156,0,1
32,control,48,pm,23,156,0,2
33,control,48,pm,23,156,1,3
34,control,48,pm,23,156,0,4
35,control,48,pm,23,156,0,5
36,control,48,pm,23,156,0,6
37,control,48,pm,23,156,0,7
38,control,48,pm,23,156,0,8
39,control,48,pm,23,156,0,9
40,control,48,pm,23,156,2,10
41,control,50,pm,23,156,0,1
42,control,50,pm,23,156,0,2
43,control,50,pm,23,156,0,3
44,control,50,pm,23,156,0,4
45,control,50,pm,23,156,0,5
46,control,50,pm,23,156,0,6
47,control,50,pm,23,156,1,7
48,control,50,pm,23,156,1,8
49,control,50,pm,23,156,0,9
50,control,50,pm,23,156,0,10
51,control,52,pm,23,156,0,1
52,control,52,pm,23,156,0,2
53,control,52,pm,23,156,0,3
54,control,52,pm,23,156,0,4
55,control,52,pm,23,156,1,5
56,control,52,pm,23,156,0,6
57,control,52,pm,23,156,0,7
58,control,52,pm,23,156,0,8
59,control,52,pm,23,156,0,9
60,control,52,pm,23,156,0,10
61,control,48,am,23,157,0,1
62,control,48,am,23,157,0,2
63,control,48,am,23,157,1,3
64,control,48,am,23,157,0,4
65,control,48,am,23,157,0,5
66,control,48,am,23,157,0,6
67,control,48,am,23,157,0,7
68,control,48,am,23,157,1,8
69,control,48,am,23,157,0,9
70,control,48,am,23,157,0,10
71,control,50,am,23,157,0,1
72,control,50,am,23,157,0,2
73,control,50,am,23,157,0,3
74,control,50,am,23,157,0,4
75,control,50,am,23,157,0,5
76,control,50,am,23,157,0,6
77,control,50,am,23,157,0,7
78,control,50,am,23,157,0,8
79,control,50,am,23,157,0,9
80,control,50,am,23,157,0,10
81,control,52,am,23,157,0,1
82,control,52,am,23,157,0,2
83,control,52,am,23,157,0,3
84,control,52,am,23,157,0,4
85,control,52,am,23,157,0,5
86,control,52,am,23,157,0,6
87,control,52,am,23,157,0,7
88,control,52,am,23,157,1,8
89,control,52,am,23,157,0,9
90,control,52,am,23,157,0,10
151,control,48,pm,23,157,0,1
152,control,48,pm,23,157,0,2
153,control,48,pm,23,157,1,3
154,control,48,pm,23,157,2,4
155,control,48,pm,23,157,0,5
